# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。

黑龙江卫视,http://110.178.211.205:9003/hls/31/index.m3u8
湖北卫视,http://110.178.211.205:9003/hls/32/index.m3u8
湖南卫视,http://110.178.211.205:9003/hls/33/index.m3u8
吉林卫视,http://110.178.211.205:9003/hls/34/index.m3u8
江苏卫视,http://110.178.211.205:9003/hls/35/index.m3u8
江西卫视,http://110.178.211.205:9003/hls/36/index.m3u8
辽宁卫视,http://110.178.211.205:9003/hls/37/index.m3u8
内蒙古卫视,http://110.178.211.205:9003/hls/38/index.m3u8
宁夏卫视,http://110.178.211.205:9003/hls/39/index.m3u8
青海卫视,http://110.178.211.205:9003/hls/40/index.m3u8
山东卫视,http://110.178.211.205:9003/hls/41/index.m3u8
陕西卫视,http://110.178.211.205:9003/hls/42/index.m3u8
深圳卫视,http://110.178.211.205:9003/hls/43/index.m3u8
四川卫视,http://110.178.211.205:9003/hls/44/index.m3u8
天津卫视,http://110.178.211.205:9003/hls/45/index.m3u8
西藏卫视,http://110.178.211.205:9003/hls/46/index.m3u8
新疆卫视,http://110.178.211.205:9003/hls/47/index.m3u8
云南卫视,http://110.178.211.205:9003/hls/48/index.m3u8
浙江卫视,http://110.178.211.205:9003/hls/49/index.m3u8
兵团卫视,http://110.178.211.205:9003/hls/50/index.m3u8

CCTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/index.m3u8
CCTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225673/index.m3u8
CCTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225770/index.m3u8
CCTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225723/index.m3u8
CCTV-2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/index.m3u8
CCTV-3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/index.m3u8
CCTV-3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/index.m3u8
CCTV-4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/index.m3u8
CCTV-5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/index.m3u8
CCTV-5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/index.m3u8
CCTV-6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/index.m3u8
CCTV-6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/index.m3u8
CCTV-7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/index.m3u8
CCTV-7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/index.m3u8
CCTV-7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226137/index.m3u8
